date,Subsidiary,Oil losses (bopd),Wells WWO
2023-01-15 00:00:00,BZ,,0
2023-01-15 00:00:00,CCS,,0
2023-01-15 00:00:00,CD,699,17
2023-01-15 00:00:00,CG,2479,15
2023-01-15 00:00:00,CM,461,12
2023-01-15 00:00:00,CO,839,11
2023-01-15 00:00:00,EC,,0
2023-01-15 00:00:00,EG,,0
2023-01-15 00:00:00,ER,,0
2023-01-15 00:00:00,FR,,0
2023-01-15 00:00:00,GA,3593,19
2023-01-15 00:00:00,GT,,0
2023-01-15 00:00:00,IQ,,0
2023-01-15 00:00:00,LH,,0
2023-01-15 00:00:00,MX,67,3
2023-01-15 00:00:00,PE,,0
2023-01-15 00:00:00,SG,,0
2023-01-15 00:00:00,TD,348,1
2023-01-15 00:00:00,TN,683,2
2023-01-15 00:00:00,TR,21,3
2023-01-15 00:00:00,TT,30,1
2023-01-15 00:00:00,UKS,1,4
2023-01-15 00:00:00,UKW,274,1
2023-01-15 00:00:00,US,,0
2023-01-15 00:00:00,VE,,0
2023-01-15 00:00:00,VN,,0
2023-01-15 00:00:00,WE,,0
2023-01-16 00:00:00,,,0
2023-01-16 00:00:00,"",,0
2023-01-16 00:00:00,AU,,0
2023-01-16 00:00:00,BN,,0
2023-01-16 00:00:00,BR,2756,11
2023-01-16 00:00:00,BS,,0
2023-01-16 00:00:00,BZ,,0
2023-01-16 00:00:00,CCS,,0
2023-01-16 00:00:00,CD,1039,18
2023-01-16 00:00:00,CG,2635,15
2023-01-16 00:00:00,CM,417,11
2023-01-16 00:00:00,CO,840,11
2023-01-16 00:00:00,EC,,0
2023-01-16 00:00:00,EG,,0
2023-01-16 00:00:00,ER,,0
2023-01-16 00:00:00,FR,,0
2023-01-16 00:00:00,GA,3583,19
2023-01-16 00:00:00,GT,,0
2023-01-16 00:00:00,IQ,,0
2023-01-16 00:00:00,LH,,0
2023-01-16 00:00:00,MX,67,3
2023-01-16 00:00:00,PE,,0
2023-01-16 00:00:00,SG,,0
2023-01-16 00:00:00,TD,348,1
2023-01-16 00:00:00,TN,683,2
2023-01-16 00:00:00,TR,21,3
2023-01-16 00:00:00,TT,30,1
2023-01-16 00:00:00,UKS,1,4
2023-01-16 00:00:00,UKW,274,1
2023-01-16 00:00:00,US,,0
2023-01-16 00:00:00,VE,,0
2023-01-16 00:00:00,VN,,0
2023-01-16 00:00:00,WE,,0
2023-01-17 00:00:00,,,0
2023-01-17 00:00:00,"",,0
2023-01-17 00:00:00,AU,,0
2023-01-17 00:00:00,BN,,0
2023-01-17 00:00:00,BR,2756,11
2023-01-17 00:00:00,BS,,0
2023-01-17 00:00:00,BZ,,0
2023-01-17 00:00:00,CCS,,0
2023-01-17 00:00:00,CD,1832,17
2023-01-17 00:00:00,CG,2642,16
2023-01-17 00:00:00,CM,345,11
2023-01-17 00:00:00,CO,822,10
2023-01-17 00:00:00,EC,,0
2023-01-17 00:00:00,EG,,0
2023-01-17 00:00:00,ER,,0
2023-01-17 00:00:00,FR,,0
2023-01-17 00:00:00,GA,3583,19
2023-01-17 00:00:00,GT,,0
2023-01-17 00:00:00,IQ,,0
2023-01-17 00:00:00,LH,,0
2023-01-17 00:00:00,MX,80,3
2023-01-17 00:00:00,PE,,0
2023-01-17 00:00:00,SG,,0
2023-01-17 00:00:00,TD,348,1
2023-01-17 00:00:00,TN,683,2
2023-01-17 00:00:00,TR,21,3
2023-01-17 00:00:00,TT,30,1
2023-01-17 00:00:00,UKS,1,4
2023-01-17 00:00:00,UKW,274,1
2023-01-17 00:00:00,US,,0
2023-01-17 00:00:00,VE,,0
2023-01-17 00:00:00,VN,,0
2023-01-17 00:00:00,WE,,0
2023-01-18 00:00:00,,,0
2023-01-18 00:00:00,"",,0
2023-01-18 00:00:00,AU,,0
2023-01-18 00:00:00,BN,,0
2023-01-18 00:00:00,BR,2756,11
2023-01-18 00:00:00,BS,,0
2023-01-18 00:00:00,BZ,,0
2023-01-18 00:00:00,CCS,,0
2023-01-18 00:00:00,CD,1167,18
2023-01-18 00:00:00,CG,2652,15
2023-01-18 00:00:00,CM,542,11
2023-01-18 00:00:00,CO,802,9
2023-01-18 00:00:00,EC,,0
2023-01-18 00:00:00,EG,,0
2023-01-18 00:00:00,ER,,0
2023-01-18 00:00:00,FR,,0
2023-01-18 00:00:00,GA,2981,14
2023-01-18 00:00:00,GT,,0
2023-01-18 00:00:00,IQ,,0
2023-01-18 00:00:00,LH,,0
2023-01-18 00:00:00,MX,67,3
2023-01-18 00:00:00,PE,,0
2023-01-18 00:00:00,SG,,0
2023-01-18 00:00:00,TD,348,1
2023-01-18 00:00:00,TN,683,2
2023-01-18 00:00:00,TR,21,3
2023-01-18 00:00:00,TT,30,1
2023-01-18 00:00:00,UKS,1,4
2023-01-18 00:00:00,UKW,274,1
2023-01-18 00:00:00,US,,0
2023-01-18 00:00:00,VE,,0
2023-01-18 00:00:00,VN,,0
2023-01-18 00:00:00,WE,,0
2023-01-19 00:00:00,,,0
2023-01-19 00:00:00,"",,0
2023-01-19 00:00:00,AU,,0
2023-01-19 00:00:00,BN,,0
2023-01-19 00:00:00,BR,2756,11
2023-01-19 00:00:00,BS,,0
2023-01-19 00:00:00,BZ,,0
2023-01-19 00:00:00,CCS,,0
2023-01-19 00:00:00,CD,1095,19
2023-01-19 00:00:00,CG,2411,15
2023-01-19 00:00:00,CM,281,11
2023-01-19 00:00:00,CO,804,9
2023-01-19 00:00:00,EC,,0
